transcript_id	gene_id	is_novel	total_count	unique_count	sample_id	em_count	tpm	certainty	multimapping_rate
ENST00000311528.10	ENSG00000167526.15	FALSE	1356	106	SAMEA117622252	1039.13573102365	1549.96797701701	0.0781710914454277	0.921828908554572
ENST00000336906.6	ENSG00000196565.15	FALSE	1024	1024	SAMEA117622252	1024	1527.39162082503	1	0
ENST00000532829.5	ENSG00000167996.16	FALSE	1018	1016	SAMEA117622252	1017.99215686275	1518.43036177515	0.99803536345776	0.00196463654223966
ENST00000302312.9	ENSG00000169877.10	FALSE	1015	997	SAMEA117622252	1014.82125124131	1513.70065994253	0.982266009852217	0.0177339901477832
ENST00000323345.11	ENSG00000148303.17	FALSE	975	975	SAMEA117622252	975	1454.30354521915	1	0
transcript1513.chr6.nnic	ENSG00000196126.12	TRUE	975	967	SAMEA117622252	967.228713339641	1442.71194548471	0.991794871794872	0.0082051282051282
ENST00000225430.9	ENSG00000108298.12	FALSE	915	886	SAMEA117622252	914.454042081949	1363.99359522026	0.968306010928962	0.0316939890710383
ENST00000648006.3	ENSG00000166710.23	FALSE	913	913	SAMEA117622252	913	1361.824755677	1	0
ENST00000274065.9	ENSG00000145425.10	FALSE	903	830	SAMEA117622252	902.623487949971	1346.34721899868	0.919158361018826	0.0808416389811739
ENST00000222247.10	ENSG00000105640.13	FALSE	884	884	SAMEA117622252	884	1318.56854766536	1	0
ENST00000336023.9	ENSG00000123416.15	FALSE	843	843	SAMEA117622252	843	1257.41321909717	1	0
ENST00000301522.3	ENSG00000167815.12	FALSE	835	835	SAMEA117622252	835	1245.48047205947	1	0
ENST00000344063.7	ENSG00000108107.15	FALSE	825	825	SAMEA117622252	825	1230.56453826235	1	0
ENST00000392514.9	ENSG00000089157.16	FALSE	829	748	SAMEA117622252	824.258655926816	1229.4587543507	0.902291917973462	0.097708082026538
ENST00000361436.10	ENSG00000197958.13	FALSE	813	790	SAMEA117622252	812.846779440468	1212.43687493358	0.971709717097171	0.028290282902829
ENST00000706900.1	ENSG00000206503.15	FALSE	3071	735	SAMEA117622252	793.948926340626	1184.24896235908	0.239335721263432	0.760664278736568
ENST00000466892.5	ENSG00000204525.18	FALSE	781	781	SAMEA117622252	781	1164.93442955503	1	0
ENST00000650601.1	ENSG00000223609.11	FALSE	4430	67	SAMEA117622252	778.243443866689	1160.82276867578	0.0151241534988713	0.984875846501129
ENST00000374550.8	ENSG00000142676.14	FALSE	772	772	SAMEA117622252	772	1151.51008913762	1	0
ENST00000429711.7	ENSG00000144713.13	FALSE	763	763	SAMEA117622252	763	1138.08574872021	1	0
ENST00000262584.7	ENSG00000161016.18	FALSE	763	751	SAMEA117622252	762.307402760351	1137.05267526275	0.984272608125819	0.0157273918741808
ENST00000316084.10	ENSG00000198034.11	FALSE	755	755	SAMEA117622252	755	1126.15300168252	1	0
ENST00000229239.10	ENSG00000111640.15	FALSE	732	732	SAMEA117622252	732	1091.84635394914	1	0
ENST00000714454.1	ENSG00000223865.12	FALSE	724	723	SAMEA117622252	723.827231121281	1079.65590599573	0.998618784530387	0.00138121546961323
ENST00000407193.7	ENSG00000164587.13	FALSE	717	717	SAMEA117622252	717	1069.47245325346	1	0
ENST00000263368.9	ENSG00000090013.11	FALSE	696	694	SAMEA117622252	695.985693848355	1038.12765331843	0.997126436781609	0.00287356321839083
ENST00000549920.6	ENSG00000063177.13	FALSE	678	678	SAMEA117622252	678	1011.3003114447	1	0
ENST00000221975.6	ENSG00000105372.8	FALSE	673	657	SAMEA117622252	672.903177004539	1003.6979240071	0.976225854383358	0.0237741456166419
ENST00000272317.11	ENSG00000143947.15	FALSE	668	668	SAMEA117622252	668	996.384377647578	1	0
ENST00000650242.1	ENSG00000158578.21	FALSE	679	595	SAMEA117622252	666.475579364569	994.110561919872	0.876288659793814	0.123711340206186
ENST00000387347.2	ENSG00000210082.2	FALSE	637	637	SAMEA117622252	637	950.144982876508	1	0
ENST00000526895.5	ENSG00000110700.7	FALSE	633	27	SAMEA117622252	632.896098868188	944.023631117304	0.042654028436019	0.957345971563981
ENST00000438763.7	ENSG00000241106.8	FALSE	630	606	SAMEA117622252	629.495961227787	938.952008322773	0.961904761904762	0.0380952380952381
ENST00000396651.8	ENSG00000142937.12	FALSE	618	586	SAMEA117622252	617.783050847458	921.481108742315	0.948220064724919	0.051779935275081
ENST00000233609.8	ENSG00000115268.10	FALSE	598	598	SAMEA117622252	598	891.972841067742	1	0
ENST00000645674.2	ENSG00000171863.15	FALSE	587	587	SAMEA117622252	587	875.565313890911	1	0
ENST00000287038.8	ENSG00000156482.11	FALSE	581	562	SAMEA117622252	580.838487829845	866.374843128892	0.967297762478485	0.0327022375215146
ENST00000361390.2	ENSG00000198888.2	FALSE	580	580	SAMEA117622252	580	865.124160232927	1	0
ENST00000648839.1	ENSG00000161970.15	FALSE	580	573	SAMEA117622252	579.958548200287	865.062331002898	0.987931034482759	0.0120689655172413
ENST00000302907.9	ENSG00000170889.14	FALSE	565	530	SAMEA117622252	564.787690184654	842.43357962223	0.938053097345133	0.0619469026548672
ENST00000563390.5	ENSG00000134419.15	FALSE	538	538	SAMEA117622252	538	802.477238285026	1	0
ENST00000648437.1	ENSG00000124614.17	FALSE	538	519	SAMEA117622252	537.782857142857	802.15334943686	0.964684014869889	0.0353159851301115
ENST00000419783.3	ENSG00000233276.9	FALSE	537	532	SAMEA117622252	536.98127340824	800.957712445019	0.990689013035382	0.0093109869646183
ENST00000361381.2	ENSG00000198886.2	FALSE	501	501	SAMEA117622252	501	747.288283235684	1	0
ENST00000409115.8	ENSG00000187514.17	FALSE	485	485	SAMEA117622252	485	723.422789160293	1	0
ENST00000451311.7	ENSG00000205542.11	FALSE	451	451	SAMEA117622252	451	672.708614250086	1	0
ENST00000411500.5	ENSG00000290878.2	FALSE	431	423	SAMEA117622252	423.558600198085	631.777203975522	0.981438515081206	0.0185614849187935
ENST00000322203.7	ENSG00000198755.11	FALSE	415	404	SAMEA117622252	414.865525672372	618.810671563625	0.973493975903614	0.0265060240963856
ENST00000225308.12	ENSG00000013306.16	FALSE	412	399	SAMEA117622252	409.052325581395	610.139740792984	0.968446601941748	0.0315533980582524
ENST00000285379.10	ENSG00000104267.10	FALSE	404	404	SAMEA117622252	404	602.603725403625	1	0
ENST00000196551.8	ENSG00000083845.9	FALSE	592	13	SAMEA117622252	371.315509684755	553.851756030147	0.0219594594594595	0.978040540540541
ENST00000485827.1	ENSG00000196656.8	FALSE	369	369	SAMEA117622252	369	550.397957113707	1	0
ENST00000338970.10	ENSG00000188846.14	FALSE	355	355	SAMEA117622252	355	529.51564979774	1	0
ENST00000501597.3	ENSG00000229117.9	FALSE	355	355	SAMEA117622252	355	529.51564979774	1	0
ENST00000353555.9	ENSG00000172270.22	FALSE	355	340	SAMEA117622252	354.882483228962	529.340362560055	0.957746478873239	0.0422535211267606
ENST00000567815.5	ENSG00000167526.15	FALSE	1286	35	SAMEA117622252	352.858617091785	526.321577228418	0.0272161741835148	0.972783825816485
ENST00000202773.14	ENSG00000089009.16	FALSE	350	348	SAMEA117622252	349.583648422488	521.436655642531	0.994285714285714	0.00571428571428567
ENST00000335854.8	ENSG00000158578.21	FALSE	345	345	SAMEA117622252	345	514.59971600062	1	0
ENST00000321153.9	ENSG00000177600.10	FALSE	344	343	SAMEA117622252	343.997093023256	513.103786593642	0.997093023255814	0.00290697674418605
ENST00000613865.5	ENSG00000138326.21	FALSE	342	341	SAMEA117622252	341.597197898424	509.52411891344	0.997076023391813	0.00292397660818711
ENST00000251453.8	ENSG00000105193.9	FALSE	337	337	SAMEA117622252	337	502.666968962925	1	0
ENST00000329251.5	ENSG00000254772.10	FALSE	334	334	SAMEA117622252	334	498.192188823789	1	0
ENST00000335895.12	ENSG00000145741.17	FALSE	333	333	SAMEA117622252	333	496.700595444077	1	0
ENST00000370321.8	ENSG00000122406.14	FALSE	333	333	SAMEA117622252	333	496.700595444077	1	0
ENST00000259254.9	ENSG00000136732.16	FALSE	332	323	SAMEA117622252	331.475218658892	494.426241690172	0.97289156626506	0.0271084337349398
ENST00000307839.10	ENSG00000174748.22	FALSE	323	323	SAMEA117622252	323	481.784661646958	1	0
ENST00000361899.2	ENSG00000198899.2	FALSE	323	323	SAMEA117622252	323	481.784661646958	1	0
ENST00000392222.7	ENSG00000114942.15	FALSE	311	223	SAMEA117622252	307.568638760372	458.767345381985	0.717041800643087	0.282958199356913
ENST00000348462.6	ENSG00000136942.15	FALSE	302	302	SAMEA117622252	302	450.461200673007	1	0
ENST00000573283.7	ENSG00000184009.13	FALSE	301	261	SAMEA117622252	300.689027311264	448.505762489506	0.867109634551495	0.132890365448505
ENST00000356769.7	ENSG00000196531.14	FALSE	296	285	SAMEA117622252	295.630515719801	440.960520088483	0.962837837837838	0.0371621621621622
ENST00000361624.2	ENSG00000198804.2	FALSE	294	294	SAMEA117622252	294	438.528453635311	1	0
ENST00000274242.10	ENSG00000145592.14	FALSE	291	291	SAMEA117622252	291	434.053673496176	1	0
ENST00000527673.2	ENSG00000118181.11	FALSE	288	288	SAMEA117622252	288	429.57889335704	1	0
ENST00000529639.6	ENSG00000149806.11	FALSE	286	286	SAMEA117622252	286	426.595706597616	1	0
transcript803.chr11.nnic	ENSG00000251562.12	FALSE	286	286	SAMEA117622252	286	426.595706597616	1	0
ENST00000361453.3	ENSG00000198763.3	FALSE	283	283	SAMEA117622252	283	422.12092645848	1	0
ENST00000225655.6	ENSG00000108518.8	FALSE	278	278	SAMEA117622252	278	414.66295955992	1	0
ENST00000468812.6	ENSG00000196262.15	FALSE	276	276	SAMEA117622252	276	411.679772800496	1	0
ENST00000366815.10	ENSG00000163041.13	FALSE	274	274	SAMEA117622252	274	408.696586041073	1	0
transcript1708.chr6.nnic	ENSG00000204267.19	FALSE	270	270	SAMEA117622252	270	402.730212522225	1	0
ENST00000495183.5	ENSG00000206503.15	FALSE	665	224	SAMEA117622252	267.979383460788	399.716274269399	0.336842105263158	0.663157894736842
ENST00000394077.8	ENSG00000114391.14	FALSE	260	260	SAMEA117622252	260	387.814278725105	1	0
transcript15.chrM.nnic	ENSG00000198938.2	FALSE	255	255	SAMEA117622252	255	380.356311826546	1	0
transcript150.chr22.nnic	ENSG00000211673.2	TRUE	255	255	SAMEA117622252	255	380.356311826546	1	0
ENST00000295955.14	ENSG00000163682.17	FALSE	245	237	SAMEA117622252	244.802469135802	365.1457423001	0.96734693877551	0.0326530612244897
ENST00000718424.1	ENSG00000104904.13	FALSE	235	228	SAMEA117622252	234.96943231441	350.478849674848	0.970212765957447	0.0297872340425532
ENST00000663595.2	ENSG00000175567.12	FALSE	230	230	SAMEA117622252	230	343.066477333747	1	0
ENST00000601521.5	ENSG00000083845.9	FALSE	587	8	SAMEA117622252	228.684490315245	341.104271797019	0.0136286201022147	0.986371379897785
ENST00000233143.6	ENSG00000034510.6	FALSE	224	224	SAMEA117622252	224	334.116917055475	1	0
ENST00000519192.1	ENSG00000147454.14	FALSE	223	223	SAMEA117622252	223	332.625323675763	1	0
ENST00000638375.2	ENSG00000206503.15	FALSE	579	214	SAMEA117622252	216.624160248444	323.115163312238	0.369602763385147	0.630397236614853
ENST00000538442.5	ENSG00000204516.10	FALSE	216	216	SAMEA117622252	216	322.18417001778	1	0
ENST00000370179.8	ENSG00000125534.11	FALSE	215	215	SAMEA117622252	215	320.692576638068	1	0
ENST00000376861.5	ENSG00000204642.14	FALSE	764	142	SAMEA117622252	212.264345232192	316.612092097227	0.18586387434555	0.81413612565445
ENST00000647248.2	ENSG00000182899.17	FALSE	287	1	SAMEA117622252	210.707720954832	314.290241630419	0.00348432055749129	0.996515679442509
ENST00000374982.5	ENSG00000204287.14	FALSE	1473	197	SAMEA117622252	205.377670388269	306.339973491803	0.133740665308893	0.866259334691107
ENST00000395305.7	ENSG00000204257.15	FALSE	299	201	SAMEA117622252	205.267295689392	306.175339321672	0.672240802675585	0.327759197324415
ENST00000467825.2	ENSG00000142541.18	FALSE	218	10	SAMEA117622252	199.082941210893	296.95079712375	0.0458715596330275	0.954128440366973
ENST00000343986.9	ENSG00000171858.18	FALSE	197	197	SAMEA117622252	197	293.843895803253	1	0
ENST00000608443.6	ENSG00000105701.16	FALSE	197	182	SAMEA117622252	195.998222538215	292.34965117331	0.923857868020305	0.0761421319796954
ENST00000487245.5	ENSG00000204525.18	FALSE	4967	164	SAMEA117622252	194.784430611666	290.539167171322	0.0330179182605194	0.966982081739481
ENST00000528097.5	ENSG00000177156.11	FALSE	183	123	SAMEA117622252	178.909090909091	266.859615570282	0.672131147540984	0.327868852459016
transcript148.chr22.nnic	ENSG00000278196.3	TRUE	175	175	SAMEA117622252	175	261.02884144959	1	0
ENST00000430157.6	ENSG00000221983.8	FALSE	171	168	SAMEA117622252	170.964705882353	255.009823458517	0.982456140350877	0.0175438596491229
ENST00000368716.9	ENSG00000196154.12	FALSE	170	170	SAMEA117622252	170	253.57087455103	1	0
ENST00000534624.6	ENSG00000109971.14	FALSE	168	168	SAMEA117622252	168	250.587687791607	1	0
ENST00000368738.4	ENSG00000163220.11	FALSE	167	167	SAMEA117622252	167	249.096094411895	1	0
ENST00000372360.9	ENSG00000138326.21	FALSE	226	13	SAMEA117622252	166.402003084454	248.204126171578	0.0575221238938053	0.942477876106195
ENST00000254301.14	ENSG00000131981.16	FALSE	165	165	SAMEA117622252	165	246.112907652471	1	0
ENST00000395422.4	ENSG00000106153.14	FALSE	164	164	SAMEA117622252	164	244.621314272759	1	0
ENST00000270625.7	ENSG00000142534.7	FALSE	161	161	SAMEA117622252	161	240.146534133623	1	0
ENST00000353334.11	ENSG00000019582.17	FALSE	161	161	SAMEA117622252	161	240.146534133623	1	0
ENST00000475947.7	ENSG00000175061.21	FALSE	160	159	SAMEA117622252	159.836842105263	238.411575518274	0.99375	0.00624999999999998
ENST00000416518.1	ENSG00000188846.14	FALSE	155	142	SAMEA117622252	155	231.196973855351	0.916129032258065	0.0838709677419355
ENST00000368868.10	ENSG00000143416.21	FALSE	155	147	SAMEA117622252	154.683336563019	230.724640769153	0.948387096774194	0.0516129032258065
ENST00000401418.2	ENSG00000220749.4	FALSE	152	152	SAMEA117622252	152	226.722193716215	1	0
transcript490.chr8.nic	ENSG00000133742.14	FALSE	151	151	SAMEA117622252	151	225.230600336503	1	0
ENST00000309311.7	ENSG00000167658.16	FALSE	147	147	SAMEA117622252	147	219.264226817656	1	0
ENST00000296930.10	ENSG00000181163.14	FALSE	147	143	SAMEA117622252	146.813101664221	218.985450497328	0.972789115646258	0.0272108843537415
ENST00000525451.6	ENSG00000172757.13	FALSE	146	146	SAMEA117622252	146	217.772633437944	1	0
ENST00000496817.5	ENSG00000197956.10	FALSE	143	64	SAMEA117622252	143	213.297853298808	0.447552447552448	0.552447552447553
ENST00000270792.10	ENSG00000142669.15	FALSE	142	142	SAMEA117622252	142	211.806259919096	1	0
ENST00000339624.9	ENSG00000140264.22	FALSE	239	1	SAMEA117622252	137.855083120588	205.623729342308	0.00418410041841004	0.99581589958159
ENST00000394349.9	ENSG00000135390.21	FALSE	137	137	SAMEA117622252	137	204.348293020536	1	0
ENST00000262418.12	ENSG00000004939.16	FALSE	135	135	SAMEA117622252	135	201.365106261112	1	0
ENST00000395119.7	ENSG00000104529.19	FALSE	135	132	SAMEA117622252	134.955223880597	201.298318497842	0.977777777777778	0.0222222222222223
ENST00000459748.1	ENSG00000244398.1	FALSE	134	134	SAMEA117622252	134	199.8735128814	1	0
ENST00000398606.10	ENSG00000084207.18	FALSE	133	133	SAMEA117622252	133	198.381919501688	1	0
ENST00000228306.8	ENSG00000089157.16	FALSE	160	117	SAMEA117622252	132.989394310428	198.366100125335	0.73125	0.26875
ENST00000302386.10	ENSG00000170296.10	FALSE	131	131	SAMEA117622252	131	195.398732742265	1	0
ENST00000491306.6	ENSG00000197756.10	FALSE	131	131	SAMEA117622252	131	195.398732742265	1	0
ENST00000253788.12	ENSG00000131469.15	FALSE	129	123	SAMEA117622252	128.904	192.272353018388	0.953488372093023	0.0465116279069767
ENST00000547649.5	ENSG00000092841.19	FALSE	128	126	SAMEA117622252	127.750668449198	190.552051312599	0.984375	0.015625
ENST00000690968.2	ENSG00000293320.1	FALSE	127	127	SAMEA117622252	127	189.432359223417	1	0
ENST00000389680.2	ENSG00000211459.2	FALSE	123	123	SAMEA117622252	123	183.465985704569	1	0
ENST00000453943.6	ENSG00000143774.18	FALSE	124	118	SAMEA117622252	122.290909090909	182.408310398955	0.951612903225806	0.0483870967741935
ENST00000264258.8	ENSG00000071082.11	FALSE	122	122	SAMEA117622252	122	181.974392324857	1	0
ENST00000651669.1	ENSG00000177954.14	FALSE	120	120	SAMEA117622252	120	178.991205565433	1	0
ENST00000377095.10	ENSG00000013306.16	FALSE	130	117	SAMEA117622252	119.947674418605	178.913157074634	0.9	0.1
transcript646.chr2.nnic	ENSG00000244437.1	TRUE	116	116	SAMEA117622252	116	173.024832046585	1	0
ENST00000342679.9	ENSG00000034152.20	FALSE	116	109	SAMEA117622252	115.69298245614	172.566886710709	0.939655172413793	0.0603448275862069
ENST00000340384.5	ENSG00000188229.6	FALSE	115	115	SAMEA117622252	115	171.533238666874	1	0
ENST00000395303.7	ENSG00000204257.15	FALSE	134	114	SAMEA117622252	114.749014960266	171.1588710432	0.850746268656716	0.149253731343284
ENST00000512737.6	ENSG00000243678.12	FALSE	115	107	SAMEA117622252	114.143310470245	170.255406235823	0.930434782608696	0.0695652173913044
ENST00000518611.5	ENSG00000104765.16	FALSE	114	114	SAMEA117622252	114	170.041645287162	1	0
ENST00000698424.1	ENSG00000168394.13	FALSE	117	110	SAMEA117622252	110.164682747356	164.320911464022	0.94017094017094	0.0598290598290598
ENST00000241052.5	ENSG00000121691.7	FALSE	109	109	SAMEA117622252	109	162.583678388602	1	0
ENST00000330398.9	ENSG00000185883.12	FALSE	108	108	SAMEA117622252	108	161.09208500889	1	0
ENST00000361427.6	ENSG00000198830.13	FALSE	108	108	SAMEA117622252	108	161.09208500889	1	0
transcript91.chr9.nic	ENSG00000137154.13	FALSE	108	108	SAMEA117622252	108	161.09208500889	1	0
ENST00000546500.5	ENSG00000135486.19	FALSE	106	105	SAMEA117622252	105.9375	158.015673663234	0.990566037735849	0.00943396226415094
transcript630.chr2.nnic	ENSG00000242076.3	TRUE	106	105	SAMEA117622252	105.614035087719	157.533195541507	0.990566037735849	0.00943396226415094
ENST00000250784.13	ENSG00000129824.16	FALSE	105	105	SAMEA117622252	105	156.617304869754	1	0
ENST00000614237.1	ENSG00000277957.1	FALSE	105	105	SAMEA117622252	105	156.617304869754	1	0
ENST00000381359.5	ENSG00000140264.22	FALSE	238	3	SAMEA117622252	104.122837670455	155.308935346073	0.0126050420168067	0.987394957983193
ENST00000243997.8	ENSG00000124172.10	FALSE	104	104	SAMEA117622252	104	155.125711490042	1	0
ENST00000215754.8	ENSG00000240972.2	FALSE	103	103	SAMEA117622252	103	153.63411811033	1	0
ENST00000361227.2	ENSG00000198840.2	FALSE	100	100	SAMEA117622252	100	149.159337971194	1	0
ENST00000652259.1	ENSG00000204267.19	FALSE	100	100	SAMEA117622252	100	149.159337971194	1	0
ENST00000339647.6	ENSG00000150991.16	FALSE	100	81	SAMEA117622252	99.3957831325301	148.258092091766	0.81	0.19
ENST00000392841.1	ENSG00000256269.11	FALSE	103	92	SAMEA117622252	99.2805755395683	148.086249208812	0.893203883495146	0.106796116504854
ENST00000368733.4	ENSG00000143546.10	FALSE	98	98	SAMEA117622252	98	146.17615121177	1	0
ENST00000246337.9	ENSG00000126088.14	FALSE	101	76	SAMEA117622252	96.3133640552995	143.660376202671	0.752475247524752	0.247524752475248
ENST00000418931.7	ENSG00000223865.12	FALSE	95	94	SAMEA117622252	94.1075514874142	140.370200779528	0.989473684210526	0.0105263157894737
ENST00000647841.1	ENSG00000182774.13	FALSE	94	94	SAMEA117622252	94	140.209777692923	1	0
ENST00000850457.1	ENSG00000310496.1	FALSE	95	88	SAMEA117622252	93.1170084039185	138.892713273866	0.926315789473684	0.0736842105263158
ENST00000037243.7	ENSG00000034713.8	FALSE	92	92	SAMEA117622252	92	137.226590933499	1	0
ENST00000296417.6	ENSG00000164032.12	FALSE	91	91	SAMEA117622252	91	135.734997553787	1	0
transcript141.chr10.nic	ENSG00000026025.16	FALSE	91	91	SAMEA117622252	91	135.734997553787	1	0
transcript784.chr14.nnic	ENSG00000211895.5	TRUE	91	91	SAMEA117622252	91	135.734997553787	1	0
transcript1088.chr12.nic	ENSG00000089009.16	FALSE	92	90	SAMEA117622252	90.4095642471952	134.854307493758	0.978260869565217	0.0217391304347826
ENST00000233997.4	ENSG00000172232.10	FALSE	91	72	SAMEA117622252	90.24	134.601386585206	0.791208791208791	0.208791208791209
ENST00000375784.8	ENSG00000213719.8	FALSE	90	90	SAMEA117622252	90	134.243404174075	1	0
ENST00000264552.14	ENSG00000108106.14	FALSE	88	88	SAMEA117622252	88	131.260217414651	1	0
ENST00000234590.10	ENSG00000074800.16	FALSE	86	86	SAMEA117622252	86	128.277030655227	1	0
ENST00000379060.8	ENSG00000133112.17	FALSE	86	86	SAMEA117622252	86	128.277030655227	1	0
ENST00000317881.9	ENSG00000005022.6	FALSE	85	85	SAMEA117622252	85	126.785437275515	1	0
ENST00000336458.13	ENSG00000132507.18	FALSE	86	78	SAMEA117622252	84.7096774193548	126.352394036244	0.906976744186046	0.0930232558139535
ENST00000616316.3	ENSG00000185201.18	FALSE	84	83	SAMEA117622252	84	125.293843895803	0.988095238095238	0.0119047619047619
ENST00000676319.1	ENSG00000075624.17	FALSE	84	84	SAMEA117622252	84	125.293843895803	1	0
ENST00000419277.5	ENSG00000231389.8	FALSE	2553	15	SAMEA117622252	83.594594594595	124.689143877002	0.00587544065804935	0.994124559341951
ENST00000367889.8	ENSG00000143198.13	FALSE	82	82	SAMEA117622252	82	122.310657136379	1	0
ENST00000311672.10	ENSG00000173660.12	FALSE	81	80	SAMEA117622252	80.9523809523809	120.748035500491	0.987654320987654	0.0123456790123457
ENST00000396599.2	ENSG00000213860.4	FALSE	80	80	SAMEA117622252	80	119.327470376955	1	0
ENST00000549338.5	ENSG00000075415.15	FALSE	80	2	SAMEA117622252	79.5908378681273	118.717166849825	0.025	0.975
ENST00000246151.9	ENSG00000057757.10	FALSE	79	79	SAMEA117622252	79	117.835876997244	1	0
ENST00000009589.8	ENSG00000008988.11	FALSE	79	74	SAMEA117622252	78.9333333333333	117.736437438596	0.936708860759494	0.0632911392405063
ENST00000309268.11	ENSG00000156508.19	FALSE	1909	4	SAMEA117622252	78.3797273939818	116.91068248449	0.00209533787323206	0.997904662126768
ENST00000652974.1	ENSG00000143933.20	FALSE	78	78	SAMEA117622252	78	116.344283617532	1	0
ENST00000262030.8	ENSG00000110955.9	FALSE	78	69	SAMEA117622252	77.5903614457831	115.733269461987	0.884615384615385	0.115384615384615
ENST00000429437.5	ENSG00000182899.17	FALSE	286	0	SAMEA117622252	76.2922790451677	113.797058346908	0	1
