sample_id	ec_id	transcripts	count	ec_size	ec_type
SAMEA117622252	56	ENST00000749689.1_1	2	1	unique
SAMEA117622252	57	transcript636.chr12.nnic	1	1	unique
SAMEA117622252	58	ENST00000756242.1	2	1	unique
SAMEA117622252	59	ENST00000577565.1	1	1	unique
SAMEA117622252	60	transcript1109.chr2.nnic	2	1	unique
SAMEA117622252	61	transcript1109.chr2.nnic|ENST00000335606.11	6	2	multi
SAMEA117622252	62	ENST00000764414.1	2	1	unique
SAMEA117622252	63	ENST00000393991.5	1	1	unique
SAMEA117622252	64	ENST00000395511.8	1	1	unique
SAMEA117622252	65	ENST00000778749.1	5	1	unique
SAMEA117622252	66	transcript910.chr11.nic	1	1	unique
SAMEA117622252	67	ENST00000790202.1	1	1	unique
SAMEA117622252	68	ENST00000334295.9	4	1	unique
SAMEA117622252	69	ENST00000642908.1	3	1	unique
SAMEA117622252	70	ENST00000785182.1	4	1	unique
SAMEA117622252	71	ENST00000394231.8	1	1	unique
SAMEA117622252	72	ENST00000546591.6	1	1	unique
SAMEA117622252	73	ENST00000264202.8	2	1	unique
SAMEA117622252	74	ENST00000404752.6	1	1	unique
SAMEA117622252	75	ENST00000791762.1	4	1	unique
SAMEA117622252	76	transcript116.chr4.nic	1	1	unique
SAMEA117622252	77	ENST00000356476.3	1	1	unique
SAMEA117622252	78	ENST00000356476.3|ENST00000802692.1	1	2	multi
SAMEA117622252	79	ENST00000802692.1	2	1	unique
SAMEA117622252	80	ENST00000805842.1	5	1	unique
SAMEA117622252	81	ENST00000358242.6	1	1	unique
SAMEA117622252	82	ENST00000289175.10	1	1	unique
SAMEA117622252	83	ENST00000542575.6	1	1	unique
SAMEA117622252	84	ENST00000393107.2	1	1	unique
SAMEA117622252	85	ENST00000393562.10	1	1	unique
SAMEA117622252	86	ENST00000393261.8	2	1	unique
SAMEA117622252	87	ENST00000247140.8	1	1	unique
SAMEA117622252	88	ENST00000348495.10	3	1	unique
SAMEA117622252	89	ENST00000615234.5	2	1	unique
SAMEA117622252	90	ENST00000611405.5	1	1	unique
SAMEA117622252	91	ENST00000826715.1	2	1	unique
SAMEA117622252	92	ENST00000590247.7	2	1	unique
SAMEA117622252	93	ENST00000831153.1	2	1	unique
SAMEA117622252	94	ENST00000210060.12	1	1	unique
SAMEA117622252	95	ENST00000370372.7|ENST00000398020.6	2	2	multi
SAMEA117622252	96	transcript821.chr11.nnic	4	1	unique
SAMEA117622252	97	ENST00000303319.10	323	1	unique
SAMEA117622252	98	transcript298.chr5.nnic|ENST00000357260.6|ENST00000646891.2	3	3	multi
SAMEA117622252	99	ENST00000303319.10|transcript1004.chr16.nnic	9	2	multi
SAMEA117622252	100	transcript1004.chr16.nnic	20	1	unique
SAMEA117622252	101	ENST00000749833.1	1	1	unique
SAMEA117622252	102	ENST00000540486.5	2	1	unique
SAMEA117622252	103	ENST00000812333.1	2	1	unique
SAMEA117622252	104	ENST00000679157.1	1	1	unique
SAMEA117622252	105	ENST00000348520.10	2	1	unique
SAMEA117622252	106	ENST00000298556.8	1	1	unique
SAMEA117622252	107	ENST00000301761.7	2	1	unique
SAMEA117622252	108	ENST00000507277.2	63	1	unique
SAMEA117622252	109	ENST00000507277.2|transcript737.chr14.nnic	1	2	multi
SAMEA117622252	110	transcript405.chr10.nic	1	1	unique
SAMEA117622252	111	transcript737.chr14.nnic	1	1	unique
SAMEA117622252	112	ENST00000270142.11	3	1	unique
SAMEA117622252	113	ENST00000303127.12	11	1	unique
SAMEA117622252	114	ENST00000613411.4	1	1	unique
SAMEA117622252	115	ENST00000714198.1	2	1	unique
SAMEA117622252	116	ENST00000561169.5	2	1	unique
SAMEA117622252	117	ENST00000321265.10|ENST00000561169.5	1	2	multi
SAMEA117622252	118	ENST00000321265.10	24	1	unique
SAMEA117622252	119	ENST00000375058.5	1	1	unique
SAMEA117622252	120	ENST00000604268.1	2	1	unique
SAMEA117622252	121	ENST00000656687.3	2	1	unique
SAMEA117622252	122	ENST00000646891.2	7	1	unique
SAMEA117622252	123	ENST00000676140.1	2	1	unique
SAMEA117622252	124	ENST00000265056.12	4	1	unique
SAMEA117622252	125	ENST00000271628.9	2	1	unique
SAMEA117622252	126	ENST00000345519.10	23	1	unique
SAMEA117622252	127	ENST00000733369.1	2	1	unique
SAMEA117622252	128	transcript2080.chr1.nic	15	1	unique
SAMEA117622252	129	ENST00000786259.1	2	1	unique
SAMEA117622252	130	ENST00000233025.11	3	1	unique
SAMEA117622252	131	ENST00000802031.1	2	1	unique
SAMEA117622252	132	transcript512.chr10.nnic	1	1	unique
SAMEA117622252	133	ENST00000260810.10	1	1	unique
SAMEA117622252	134	ENST00000376406.8	4	1	unique
SAMEA117622252	135	ENST00000359611.4	1	1	unique
SAMEA117622252	136	ENST00000681092.1	2	1	unique
SAMEA117622252	137	ENST00000396957.5	3	1	unique
SAMEA117622252	138	ENST00000269305.9	2	1	unique
SAMEA117622252	139	ENST00000291568.7	2	1	unique
SAMEA117622252	140	ENST00000655116.2	2	1	unique
SAMEA117622252	141	ENST00000690235.2	2	1	unique
SAMEA117622252	142	ENST00000305632.11	2	1	unique
SAMEA117622252	143	ENST00000502878.6	2	1	unique
SAMEA117622252	144	ENST00000246747.9	1	1	unique
SAMEA117622252	145	ENST00000601048.6	2	1	unique
SAMEA117622252	146	ENST00000827988.1	2	1	unique
SAMEA117622252	147	ENST00000831154.1	3	1	unique
SAMEA117622252	148	ENST00000829771.1	5	1	unique
SAMEA117622252	149	transcript692.chr12.nic	1	1	unique
SAMEA117622252	150	ENST00000706878.1	2	1	unique
SAMEA117622252	151	transcript250.chr5.nnic	2	1	unique
SAMEA117622252	152	ENST00000221413.10	2	1	unique
SAMEA117622252	153	ENST00000615863.2	3	1	unique
SAMEA117622252	154	ENST00000436900.2	4	1	unique
SAMEA117622252	155	ENST00000436900.2|ENST00000681938.1	1	2	multi
SAMEA117622252	156	ENST00000681938.1	3	1	unique
SAMEA117622252	157	ENST00000715728.1	4	1	unique
SAMEA117622252	158	ENST00000381809.8	2	1	unique
SAMEA117622252	159	ENST00000307365.4	7	1	unique
SAMEA117622252	160	transcript101.chr3.nnic	3	1	unique
SAMEA117622252	161	ENST00000381719.8	5	1	unique
SAMEA117622252	162	ENST00000421097.6	9	1	unique
SAMEA117622252	163	ENST00000264710.5	1	1	unique
SAMEA117622252	164	ENST00000251166.9|ENST00000264710.5	1	2	multi
SAMEA117622252	165	ENST00000423169.6	2	1	unique
SAMEA117622252	166	transcript2235.chr1.nnic	8	1	unique
SAMEA117622252	167	ENST00000261739.9	3	1	unique
SAMEA117622252	168	ENST00000715696.1	2	1	unique
SAMEA117622252	169	ENST00000264265.4	2	1	unique
SAMEA117622252	170	ENST00000424889.7	3	1	unique
SAMEA117622252	171	ENST00000424936.6	2	1	unique
SAMEA117622252	172	transcript690.chr14.nic	1	1	unique
SAMEA117622252	173	ENST00000272252.10	2	1	unique
SAMEA117622252	174	ENST00000156109.7	2	1	unique
SAMEA117622252	175	ENST00000372592.8	1	1	unique
SAMEA117622252	176	ENST00000418900.6	1	1	unique
SAMEA117622252	177	transcript976.chr19.nnic	1	1	unique
SAMEA117622252	178	ENST00000681657.1	1	1	unique
SAMEA117622252	179	ENST00000345046.12	1	1	unique
SAMEA117622252	180	transcript1366.chr2.nnic	1	1	unique
SAMEA117622252	181	ENST00000372894.7	8	1	unique
SAMEA117622252	182	ENST00000372231.7	1	1	unique
SAMEA117622252	183	transcript103.chr6.nnic	1	1	unique
SAMEA117622252	184	ENST00000372972.7	1	1	unique
SAMEA117622252	185	ENST00000371370.8	1	1	unique
SAMEA117622252	186	ENST00000381346.9	1	1	unique
SAMEA117622252	187	ENST00000510025.7	1	1	unique
SAMEA117622252	188	ENST00000429985.1	2	1	unique
SAMEA117622252	189	ENST00000344517.5	1	1	unique
SAMEA117622252	190	ENST00000372155.2	1	1	unique
SAMEA117622252	191	ENST00000398532.9	1	1	unique
SAMEA117622252	192	ENST00000430715.6	2	1	unique
SAMEA117622252	193	transcript1016.chr2.nic	18	1	unique
SAMEA117622252	194	ENST00000432329.6	2	1	unique
SAMEA117622252	195	ENST00000393132.2	2	1	unique
SAMEA117622252	196	transcript681.chr14.nnic	1	1	unique
SAMEA117622252	197	ENST00000535923.6	2	1	unique
SAMEA117622252	198	ENST00000506163.5	1	1	unique
SAMEA117622252	199	ENST00000250340.9	1	1	unique
SAMEA117622252	200	ENST00000590194.5	1	1	unique
SAMEA117622252	201	ENST00000433024.5	2	1	unique
SAMEA117622252	202	ENST00000434316.7	8	1	unique
SAMEA117622252	203	ENST00000310144.11	5	1	unique
SAMEA117622252	204	ENST00000292577.12	1	1	unique
SAMEA117622252	205	transcript274.chr19.nic	1	1	unique
SAMEA117622252	206	ENST00000380199.9	2	1	unique
SAMEA117622252	207	ENST00000380290.8	1	1	unique
SAMEA117622252	208	ENST00000436063.7	2	1	unique
SAMEA117622252	209	ENST00000436108.6	2	1	unique
SAMEA117622252	210	ENST00000222990.8	1	1	unique
SAMEA117622252	211	ENST00000397071.5	1	1	unique
SAMEA117622252	212	ENST00000397582.7	1	1	unique
SAMEA117622252	213	ENST00000439096.3	2	1	unique
SAMEA117622252	214	ENST00000327367.9	1	1	unique
SAMEA117622252	215	ENST00000439758.3	2	1	unique
SAMEA117622252	216	ENST00000441222.8	12	1	unique
SAMEA117622252	217	transcript864.chr10.nic	1	1	unique
SAMEA117622252	218	ENST00000215917.11	2	1	unique
SAMEA117622252	219	ENST00000372432.5	2	1	unique
SAMEA117622252	220	ENST00000442842.5	2	1	unique
SAMEA117622252	221	ENST00000373477.9	19	1	unique
SAMEA117622252	222	ENST00000371756.4	4	1	unique
SAMEA117622252	223	ENST00000309522.8	2	1	unique
SAMEA117622252	224	transcript332.chr22.nic	2	1	unique
SAMEA117622252	225	transcript1154.chr3.nnic	1	1	unique
SAMEA117622252	226	ENST00000177742.7	1	1	unique
SAMEA117622252	227	ENST00000445082.2	2	1	unique
SAMEA117622252	228	ENST00000373537.7	1	1	unique
SAMEA117622252	229	ENST00000796713.1	2	1	unique
SAMEA117622252	230	transcript217.chr5.nnic	1	1	unique
SAMEA117622252	231	ENST00000262300.13	1	1	unique
SAMEA117622252	232	transcript544.chr20.nnic	1	1	unique
SAMEA117622252	233	ENST00000278671.10	15	1	unique
SAMEA117622252	234	ENST00000374518.6	1	1	unique
SAMEA117622252	235	transcript1477.chr2.nnic	1	1	unique
SAMEA117622252	236	transcript9.chr17.nic	1	1	unique
SAMEA117622252	237	ENST00000445716.6	2	1	unique
SAMEA117622252	238	ENST00000446050.7	2	1	unique
SAMEA117622252	239	transcript9.chr11.nnic	1	1	unique
SAMEA117622252	240	ENST00000542230.7	2	1	unique
SAMEA117622252	241	ENST00000447520.6	2	1	unique
SAMEA117622252	242	ENST00000387347.2	35	1	unique
SAMEA117622252	243	ENST00000339438.10	8	1	unique
SAMEA117622252	244	ENST00000379671.7	1	1	unique
SAMEA117622252	245	ENST00000379715.10	15	1	unique
SAMEA117622252	246	transcript704.chr5.nic	1	1	unique
SAMEA117622252	247	ENST00000377759.9	1	1	unique
SAMEA117622252	248	ENST00000375128.5	1	1	unique
SAMEA117622252	249	transcript48.chr20.nic	1	1	unique
SAMEA117622252	250	ENST00000323274.15	1	1	unique
SAMEA117622252	251	transcript301.chr4.nnic	9	1	unique
SAMEA117622252	252	ENST00000379666.7|transcript301.chr4.nnic	83	2	multi
SAMEA117622252	253	ENST00000301071.12|ENST00000379666.7|transcript301.chr4.nnic	3	3	multi
SAMEA117622252	254	ENST00000301071.12	8	1	unique
SAMEA117622252	255	ENST00000301071.12|ENST00000379666.7	2	2	multi
SAMEA117622252	256	ENST00000379666.7	223	1	unique
SAMEA117622252	257	ENST00000357260.6	10	1	unique
SAMEA117622252	258	ENST00000313511.8	1	1	unique
SAMEA117622252	259	transcript217.chr19.nic	1	1	unique
SAMEA117622252	260	ENST00000450784.5	2	1	unique
SAMEA117622252	261	transcript452.chr7.nnic	1	1	unique
SAMEA117622252	262	transcript1029.chr3.nnic	1	1	unique
SAMEA117622252	263	ENST00000375638.7	1	1	unique
SAMEA117622252	264	ENST00000372447.7	2	1	unique
SAMEA117622252	265	ENST00000373616.9	1	1	unique
SAMEA117622252	266	ENST00000303562.9	8	1	unique
SAMEA117622252	267	ENST00000398449.8	1	1	unique
SAMEA117622252	268	ENST00000256255.11	1	1	unique
SAMEA117622252	269	ENST00000379251.7	5	1	unique
SAMEA117622252	270	ENST00000379240.5	1	1	unique
SAMEA117622252	271	transcript90.chr6.nic	131	1	unique
SAMEA117622252	272	ENST00000397666.6	9	1	unique
SAMEA117622252	273	ENST00000216190.13	1	1	unique
SAMEA117622252	274	ENST00000454366.2	16	1	unique
SAMEA117622252	275	transcript236.chr1.nic	21	1	unique
SAMEA117622252	276	transcript29.chr18.nic	3	1	unique
SAMEA117622252	277	ENST00000281031.5	8	1	unique
SAMEA117622252	278	ENST00000373116.6	5	1	unique
SAMEA117622252	279	transcript2519.chr6.nic	3	1	unique
SAMEA117622252	280	transcript598.chr10.nic	1	1	unique
SAMEA117622252	281	transcript2715.chr6.nnic	1	1	unique
SAMEA117622252	282	ENST00000394456.10	3	1	unique
SAMEA117622252	283	transcript261.chr15.nnic	2	1	unique
SAMEA117622252	284	ENST00000418458.6	10	1	unique
SAMEA117622252	285	transcript204.chr19.nnic	2	1	unique
SAMEA117622252	286	transcript226.chr15.nnic	1	1	unique
SAMEA117622252	287	transcript292.chr13.nic	3	1	unique
SAMEA117622252	288	transcript292.chr13.nic|ENST00000458126.6	1	2	multi
SAMEA117622252	289	ENST00000458126.6	2	1	unique
SAMEA117622252	290	ENST00000648595.1	2	1	unique
SAMEA117622252	291	ENST00000311413.5	1	1	unique
SAMEA117622252	292	ENST00000810458.1	2	1	unique
SAMEA117622252	293	ENST00000245185.6	13	1	unique
SAMEA117622252	294	ENST00000379095.5	1	1	unique
SAMEA117622252	295	transcript329.chr20.nic	1	1	unique
SAMEA117622252	296	ENST00000336617.8	1	1	unique
SAMEA117622252	297	ENST00000575771.6	1	1	unique
SAMEA117622252	298	ENST00000456318.6	1	1	unique
SAMEA117622252	299	ENST00000372718.8	2	1	unique
SAMEA117622252	300	ENST00000735850.1	3	1	unique
SAMEA117622252	301	ENST00000850578.1	1	1	unique
SAMEA117622252	302	ENST00000460454.2	2	1	unique
SAMEA117622252	303	ENST00000376836.8	1	1	unique
SAMEA117622252	304	ENST00000460616.5	2	1	unique
SAMEA117622252	305	ENST00000326005.10	2	1	unique
SAMEA117622252	306	ENST00000771825.1	1	1	unique
SAMEA117622252	307	transcript474.chr2.nnic	1	1	unique
SAMEA117622252	308	ENST00000371437.5	1	1	unique
SAMEA117622252	309	ENST00000461433.1	2	1	unique
SAMEA117622252	310	ENST00000237530.11	2	1	unique
SAMEA117622252	311	ENST00000412716.8	2	1	unique
SAMEA117622252	312	ENST00000359282.9	7	1	unique
SAMEA117622252	313	ENST00000462683.6	18	1	unique
SAMEA117622252	314	ENST00000463007.5	6	1	unique
SAMEA117622252	315	ENST00000463108.5	3	1	unique
SAMEA117622252	316	ENST00000706764.1	485	1	unique
SAMEA117622252	317	transcript1046.chr1.nnic	5	1	unique
SAMEA117622252	318	transcript778.chr2.nnic	1	1	unique
SAMEA117622252	319	ENST00000831170.1	37	1	unique
SAMEA117622252	320	ENST00000264001.9	3	1	unique
SAMEA117622252	321	ENST00000380554.5	6	1	unique
SAMEA117622252	322	ENST00000243903.6	1	1	unique
SAMEA117622252	323	ENST00000464139.5	2	1	unique
SAMEA117622252	324	transcript103.chr11.nic	2	1	unique
SAMEA117622252	325	transcript47.chr18.nic	1	1	unique
SAMEA117622252	326	ENST00000322344.8	1	1	unique
SAMEA117622252	327	ENST00000465368.5	2	1	unique
SAMEA117622252	328	ENST00000305533.10	2	1	unique
SAMEA117622252	329	ENST00000330459.8	1	1	unique
SAMEA117622252	330	transcript1.chr17.nnic	2	1	unique
SAMEA117622252	331	ENST00000265192.9	7	1	unique
SAMEA117622252	332	ENST00000465823.5	2	1	unique
SAMEA117622252	333	ENST00000699926.1	6	1	unique
SAMEA117622252	334	ENST00000714507.1	7	1	unique
SAMEA117622252	335	transcript50.chr3.nnic	1	1	unique
SAMEA117622252	336	ENST00000327949.15	5	1	unique
SAMEA117622252	337	transcript258.chr14.nnic	2	1	unique
SAMEA117622252	338	transcript1009.chr2.nic	1	1	unique
SAMEA117622252	339	ENST00000678498.1	5	1	unique
SAMEA117622252	340	ENST00000378372.8	2	1	unique
SAMEA117622252	341	ENST00000378863.9	3	1	unique
SAMEA117622252	342	ENST00000371989.8	2	1	unique
SAMEA117622252	343	ENST00000468284.1	2	1	unique
SAMEA117622252	344	ENST00000378198.9	1	1	unique
SAMEA117622252	345	ENST00000468735.6	2	1	unique
SAMEA117622252	346	ENST00000469104.5	3	1	unique
SAMEA117622252	347	ENST00000622957.1	2	1	unique
SAMEA117622252	348	ENST00000613174.2	1	1	unique
SAMEA117622252	349	ENST00000686402.1	4	1	unique
SAMEA117622252	350	transcript672.chr5.nic	1	1	unique
SAMEA117622252	351	ENST00000497825.5	11	1	unique
SAMEA117622252	352	ENST00000606367.1	4	1	unique
SAMEA117622252	353	transcript915.chr2.nnic	1	1	unique
SAMEA117622252	354	ENST00000404104.7	1	1	unique
SAMEA117622252	355	ENST00000648033.1	2	1	unique
SAMEA117622252	356	ENST00000426808.5	2	1	unique
SAMEA117622252	357	ENST00000361763.9	1	1	unique
SAMEA117622252	358	ENST00000375661.6	2	1	unique
SAMEA117622252	359	ENST00000225430.9	1	1	unique
SAMEA117622252	360	transcript378.chr3.nnic	1	1	unique
SAMEA117622252	361	ENST00000261407.9	1	1	unique
SAMEA117622252	362	ENST00000850441.1	1	1	unique
SAMEA117622252	363	ENST00000301488.8	1	1	unique
SAMEA117622252	364	ENST00000346213.9	2	1	unique
SAMEA117622252	365	ENST00000517309.6	1	1	unique
SAMEA117622252	366	ENST00000321562.9	1	1	unique
SAMEA117622252	367	ENST00000255764.4	2	1	unique
SAMEA117622252	368	ENST00000468031.1	4	1	unique
SAMEA117622252	369	ENST00000520007.5	15	1	unique
SAMEA117622252	370	ENST00000373178.5	4	1	unique
SAMEA117622252	371	transcript225.chr18.nnic	2	1	unique
SAMEA117622252	372	ENST00000361283.4	6	1	unique
SAMEA117622252	373	transcript611.chr15.nnic	13	1	unique
SAMEA117622252	374	transcript859.chr10.nnic	2	1	unique
SAMEA117622252	375	ENST00000588658.2	11	1	unique
SAMEA117622252	376	transcript154.chr20.nnic|transcript157.chr4.nnic	1	2	multi
SAMEA117622252	377	transcript299.chr12.nnic	1	1	unique
SAMEA117622252	378	transcript154.chr20.nnic	1	1	unique
SAMEA117622252	379	ENST00000231238.10	31	1	unique
SAMEA117622252	380	ENST00000611660.5	3	1	unique
SAMEA117622252	381	ENST00000327300.12	1	1	unique
SAMEA117622252	382	ENST00000296102.8	5	1	unique
SAMEA117622252	383	ENST00000502935.6	2	1	unique
SAMEA117622252	384	ENST00000626874.2	2	1	unique
SAMEA117622252	385	transcript205.chr14.nic	1	1	unique
SAMEA117622252	386	ENST00000267935.13	1	1	unique
SAMEA117622252	387	ENST00000329399.7	1	1	unique
SAMEA117622252	388	transcript235.chr18.nnic	1	1	unique
SAMEA117622252	389	transcript20.chr7.nic	763	1	unique
SAMEA117622252	390	ENST00000335765.9	1	1	unique
SAMEA117622252	391	ENST00000398805.8	1	1	unique
SAMEA117622252	392	ENST00000619426.5	32	1	unique
SAMEA117622252	393	ENST00000532287.6	3	1	unique
SAMEA117622252	394	ENST00000261817.6	79	1	unique
SAMEA117622252	395	ENST00000498700.5|transcript237.chr7.nic	6	2	multi
SAMEA117622252	396	transcript237.chr7.nic	2	1	unique
SAMEA117622252	397	ENST00000688009.1	5	1	unique
SAMEA117622252	398	transcript1293.chr17.nic	2	1	unique
SAMEA117622252	399	ENST00000216254.9	1	1	unique
SAMEA117622252	400	ENST00000420554.6	1	1	unique
SAMEA117622252	401	ENST00000525828.1	13	1	unique
SAMEA117622252	402	ENST00000373062.8	1	1	unique
SAMEA117622252	403	transcript170.chr3.nnic	1	1	unique
SAMEA117622252	404	ENST00000373019.5	2	1	unique
SAMEA117622252	405	ENST00000811438.1	2	1	unique
SAMEA117622252	406	ENST00000494801.5	1	1	unique
SAMEA117622252	407	ENST00000251303.11	4	1	unique
SAMEA117622252	408	transcript483.chr15.nnic	3	1	unique
SAMEA117622252	409	transcript875.chr1.nnic	2	1	unique
SAMEA117622252	410	ENST00000373014.5	1	1	unique
SAMEA117622252	411	ENST00000375040.8	2	1	unique
SAMEA117622252	412	ENST00000421223.5	2	1	unique
SAMEA117622252	413	transcript1640.chr1.nic	1	1	unique
SAMEA117622252	414	ENST00000279387.12	8	1	unique
SAMEA117622252	415	transcript107.chr5.nic	1	1	unique
SAMEA117622252	416	ENST00000251654.9	9	1	unique
SAMEA117622252	417	ENST00000285381.3	323	1	unique
SAMEA117622252	418	transcript109.chr22.nnic	22	1	unique
SAMEA117622252	419	ENST00000334350.7	2	1	unique
SAMEA117622252	420	transcript24.chrY.nnic	4	1	unique
SAMEA117622252	421	ENST00000361521.9	1	1	unique
SAMEA117622252	422	ENST00000378720.8	1	1	unique
SAMEA117622252	423	ENST00000380490.5	1	1	unique
SAMEA117622252	424	transcript121.chr21.nnic	1	1	unique
SAMEA117622252	425	ENST00000461864.8	2	1	unique
SAMEA117622252	426	transcript1506.chr1.nnic	3	1	unique
SAMEA117622252	427	ENST00000400521.7	3	1	unique
SAMEA117622252	428	ENST00000464942.7	2	1	unique
SAMEA117622252	429	ENST00000466317.1	2	1	unique
SAMEA117622252	430	ENST00000466894.5	4	1	unique
SAMEA117622252	431	transcript629.chr12.nic	2	1	unique
SAMEA117622252	432	ENST00000380325.4	2	1	unique
SAMEA117622252	433	ENST00000473389.5	2	1	unique
SAMEA117622252	434	ENST00000263579.5	1	1	unique
SAMEA117622252	435	ENST00000242827.11	6	1	unique
SAMEA117622252	436	ENST00000654795.2	4	1	unique
SAMEA117622252	437	ENST00000479452.5	2	1	unique
SAMEA117622252	438	transcript442.chr3.nnic	1	1	unique
SAMEA117622252	439	ENST00000557016.6	3	1	unique
SAMEA117622252	440	transcript140.chr1.nnic	2	1	unique
SAMEA117622252	441	ENST00000322354.4	1	1	unique
SAMEA117622252	442	ENST00000487429.1	3	1	unique
SAMEA117622252	443	ENST00000568546.6	3	1	unique
SAMEA117622252	444	ENST00000568546.6|ENST00000492155.5	2	2	multi
SAMEA117622252	445	ENST00000492155.5	4	1	unique
SAMEA117622252	446	transcript314.chr14.nnic	3	1	unique
SAMEA117622252	447	transcript553.chr15.nnic	1	1	unique
SAMEA117622252	448	transcript650.chr1.nnic	1	1	unique
SAMEA117622252	449	ENST00000367108.7	1	1	unique
SAMEA117622252	450	ENST00000380668.10	2	1	unique
SAMEA117622252	451	transcript454.chr7.nnic|ENST00000380647.8|ENST00000380668.10	12	3	multi
SAMEA117622252	452	ENST00000380647.8	2	1	unique
SAMEA117622252	453	transcript454.chr7.nnic|ENST00000380647.8	7	2	multi
SAMEA117622252	454	ENST00000451270.7	2	1	unique
SAMEA117622252	455	transcript454.chr7.nnic	2	1	unique
SAMEA117622252	456	ENST00000672715.1	1	1	unique
SAMEA117622252	457	ENST00000399886.4	1	1	unique
SAMEA117622252	458	ENST00000633227.1	20	1	unique
SAMEA117622252	459	transcript1363.chr2.nnic|ENST00000399933.8	1	2	multi
SAMEA117622252	460	ENST00000354420.7	355	1	unique
SAMEA117622252	461	ENST00000258383.4	3	1	unique
SAMEA117622252	462	ENST00000258383.4|ENST00000533379.1	3	2	multi
SAMEA117622252	463	ENST00000533379.1	2	1	unique
SAMEA117622252	464	ENST00000257818.3	3	1	unique
SAMEA117622252	465	ENST00000257818.3|transcript243.chr2.nnic	1	2	multi
SAMEA117622252	466	transcript243.chr2.nnic	1	1	unique
SAMEA117622252	467	ENST00000257245.9	1	1	unique
SAMEA117622252	468	ENST00000642412.2	3	1	unique
SAMEA117622252	469	ENST00000257181.10	1	1	unique
SAMEA117622252	470	ENST00000260643.7	1	1	unique
SAMEA117622252	471	transcript1296.chr12.nnic	3	1	unique
SAMEA117622252	472	ENST00000539542.6	6	1	unique
SAMEA117622252	473	ENST00000542451.1	5	1	unique
SAMEA117622252	474	ENST00000482111.1|transcript1151.chr11.nnic	13	2	multi
SAMEA117622252	475	ENST00000245458.11	1	1	unique
